uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
251,10117000429,Decatur High School,101170,Decatur City,12/10/2019,2019-2020,2019,8:20 AM,Tuesday,Decatur,Alabama,public,1036,0,0,0,unclear,22,m,unknown,unknown,0,unknown,448,301,250,9,6,0,unknown,unknown,34.593282,-86.97216,64.5,9,12,586,Morgan County,1,1103,13,rep,15,4949697
252,864049,Sacred Heart School,,,12/10/2019,2019-2020,2019,12:45 PM,Tuesday,Jersey City,New Jersey,private,219,0,0,0,unclear,0,,unknown,unknown,,unknown,2,180,12,5,0,0,unknown,unknown,40.706963,-74.083408,11.5,PK,8,,Hudson County,34,34017,11,dem,47,8870685
253,230704,Catholic Academy of New Haven,,,12/16/2019,2019-2020,2019,9:00 AM,Monday,New Haven,Connecticut,private,292,0,0,0,targeted,0,m,b,unknown,,unknown,27,141,39,9,2,0,unknown,unknown,41.325823,-72.963177,13,PK,8,,New Haven County,9,9009,12,dem,46,3546588
254,4.82E+11,Bellaire High School,4823640,Houston ISD,1/14/2020,2019-2020,2020,4:00 PM,Tuesday,Bellaire,Texas,public,3487,1,0,1,accidental,16,m,unknown,student,0,unknown,722,695,1520,469,8,0,.32 caliber semi-automatic pistol,unknown,29.692163,-95.469159,203.32,9,12,1665,Harris County,48,48201,21,rep,10,29730311
255,62922009598,McAuliffe Elementary School,629220,Oxnard,1/23/2020,2019-2020,2020,11:30 AM,Thursday,Oxnard,California,public,698,0,1,1,unclear,0,,unknown,unknown,,unknown,77,16,554,31,1,0,unknown,unknown,34.1876,-119.2135,32,KG,12,374,Ventura County,6,6111,12,dem,48,39613493
256,4.90E+11,West High School,4900870,Salt Lake District,2/13/2020,2019-2020,2020,3:00 PM,Thursday,Salt Lake City,Utah,public,2703,0,0,0,targeted,0,,unknown,student,,unknown,966,127,1137,229,25,0,unknown,unknown,40.774742,-111.900444,111.84,7,12,1483,Salt Lake County,49,49035,12,rep,12,3363182
257,60285000207,Antioch High School,602850,Antioch Unified,2/19/2020,2019-2020,2020,9:30 AM,Wednesday,Antioch,California,public,2061,0,0,0,targeted,15,m,unknown,unknown,,unknown,319,421,1092,103,14,0,unknown,unknown,38.0063,-121.8163,87.84,9,12,1460,Contra Costa County,6,6013,21,dem,48,39613493
258,3.50E+11,Cesar Chavez Community School,3500117,Cesar Chavez Community School,2/21/2020,2019-2020,2020,11:00 AM,Friday,Albuquerque,New Mexico,public,203,0,0,0,unclear,0,,unknown,unknown,,unknown,13,7,154,0,26,0,unknown,unknown,35.059669,-106.583882,11.36,9,12,203,Bernalillo County,35,35001,11,dem,21,2109093
259,A1592044,Sagemont School,,,3/5/2020,2019-2020,2020,12:00 PM,Thursday,Weston,Florida,private,651,0,1,1,accidental,55,m,b,security guard,,unknown,,,,,,0,unknown,unknown,26.13796,-80.424081,46,PK,12,,Broward County,12,12011,21,rep,30,21944577
260,1.20E+11,Ribault High School,1200480,Duval,10/9/2020,2020-2021,2020,2:00 PM,Friday,Jacksonville ,Florida,public,1383,0,1,1,accidental,18,,unknown,unknown,,unknown,30,1318,11,3,0,0,.380-caliber handgun,unknown,30.3906,-81.7073,68,9,12,884,Duval County,12,12031,11,rep,30,21944577
